year,month,rates
2019.0,1.0,1.0854596496155864
2019.0,2.0,1.1078921949768303
2019.0,3.0,1.0982958986112463
2019.0,4.0,1.0883659487982686
2019.0,5.0,1.0585395848673986
2019.0,6.0,1.100255771283115
2019.0,7.0,1.0636283446800354
2019.0,8.0,1.120213583015482
2019.0,9.0,1.0369950868597269
2019.0,10.0,1.1036667031253984
2019.0,11.0,1.1124477596271432
2019.0,12.0,1.0810567470258583
2020.0,1.0,1.0564030018261457
2020.0,2.0,1.0005144932759122
2020.0,3.0,1.0554040261509763
2020.0,4.0,1.027607438918193
2020.0,5.0,1.05781288273585
2020.0,6.0,1.1731811426718246
2020.0,7.0,1.0179973432594176
2020.0,8.0,0.9224319362577733
2020.0,9.0,0.9705777759668334
2020.0,10.0,1.0472766310399135
2020.0,11.0,0.9961696645398826
2020.0,12.0,0.9782979640380575
2021.0,1.0,1.0531544875295566
2021.0,2.0,1.0042134816438546
2021.0,3.0,0.9628073865563389
2021.0,4.0,0.9738570956560139
2021.0,5.0,0.9845558407603112
2021.0,6.0,1.0085071192827233
2021.0,7.0,1.0036559974996722
2021.0,8.0,0.9537577264899079
2021.0,9.0,0.9470655025033058
2021.0,10.0,0.9658037079862059
2021.0,11.0,0.9955676447155889
2021.0,12.0,1.0185705715981044
2022.0,1.0,0.9521225367530836
